0,ABHD11-AS1,Colorectal Cancer,"qPCR, RIP, Luciferase reporter assay, Western blot, other",up-regulated,30429229.0,1.0
1,ABHD11-AS1,Colorectal Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",up-regulated,30537177.0,1.0
2,ADAMTS9-AS2,Colorectal Cancer,qPCR etc.,down-regulated,27596298.0,1.0
3,ADPGK-AS1,Colorectal Cancer,"qPCR, Luciferase reporter assay etc",up-regulated,32196589.0,1.0
4,AFAP1-AS1,Colorectal Cancer,"qPCR, Western blot, in vitro knockdown, RIP",up-regulated,29888110.0,1.0
5,AFAP1-AS1,Colorectal Cancer,qRT-PCR etc.,up-regulated,31132513.0,1.0
6,AFAP1-AS1,Colon Cancer,"qPCR, Western blot, in vitro knockdown, etc.",up-regulated,30588252.0,1.0
7,AFAP1-AS1,Colorectal Cancer,qPCR etc.,up-regulated,27596298.0,1.0
8,AFAP1-AS1,Colorectal Cancer,"qPCR, RNAi etc.",up-regulated,27261589.0,1.0
9,AFAP1-AS1,Colorectal Cancer,"qPCR, RNAi, Western blot, MTT assay etc.",up-regulated,27578191.0,1.0
10,AFAP1-AS1,Colorectal Cancer,"qPCR, ChIP, RIP, Western blot, etc.",up-regulated,29888110.0,1.0
11,AGAP2-AS1,Colorectal Cancer,"qPCR, Western blot, RIP, Luciferase reporter assay etc",up-regulated,32202509.0,1.0
12,"ANCR",Colorectal Cancer,"qPCR, RNAi, Western blot, RNA pull-down assay etc.",up-regulated,27983539.0,3.0
13,"ANRIL",Colorectal Cancer,"qPCR, Luciferase reporter assay, other",up-regulated,30279206.0,14.0
14,"ANRIL",Colon Cancer,"qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay etc.",up-regulated,23416462.0,14.0
15,"ANRIL",Colorectal Cancer,"qPCR, RNAi etc.",up-regulated,26708220.0,14.0
16,"ANRIL",Colorectal Cancer,"qPCR, RNAi, Western blot, Northern blot etc.",up-regulated,27286457.0,14.0
17,"ANRIL",Colorectal Cancer,"qPCR, RNAi etc.",up-regulated,27314206.0,14.0
18,"AWPPH",Colon Cancer,"qPCR, Western blot, other",up-regulated,31423271.0,8.0
19,B3GALT5-AS1,Colorectal Cancer,qPCR etc,down-regulated,32207329.0,2.0
20,B3GALT5-AS1,Colon Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",down-regulated,30530918.0,2.0
21,B4GALT1-AS1,Colon Cancer,RNA-seq,up-regulated,30912138.0,3.0
22,"BA318C17.1",Colorectal Cancer,"qPCR, STS-PCR, ISH etc.",down-regulated,16110499.0,3.0
23,BACE1-AS,Colon Cancer,qPCR etc.,down-regulated,25078450.0,1.0
24,BANCR,Colorectal Cancer,"qPCR, Western blot, Luciferase assay",up-regulated,30144787.0,1.0
25,BANCR,Colorectal Cancer,qPCR etc.,up-regulated,28969673.0,1.0
26,BANCR,Colorectal Cancer,"Microarray, qPCR etc.",up-regulated,27591862.0,1.0
27,BANCR,Colorectal Cancer,"qPCR, RNAi, Cell transfection, Western blot, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.",up-regulated,26296467.0,1.0
28,BANCR,Colorectal Cancer,"qPCR, Western blot etc.",up-regulated,25013510.0,1.0
29,BANCR,Colorectal Cancer,"qPCR, RNAi, Western blot etc.",down-regulated,25928067.0,1.0
30,BBOX1-AS1,Colorectal Cancer,"RT-qPCR, Western bolt",up-regulated,31984680.0,3.0
31,"BC200",Colon Cancer,"qPCR, Western blot etc.",up-regulated,29625226.0,1.0
32,BCAR4,Colorectal Cancer,"qPCR, Luciferase reporter assay, Western blot",up-regulated,30962766.0,5.0
33,BCAR4,Colorectal Cancer,qPCR etc.,up-regulated,27596298.0,5.0
34,BDNF-AS,Colorectal Cancer,"qRT-PCR, Western blotting, RIP etc.",down-regulated,31062382.0,5.0
35,BLACAT1,Colorectal Cancer,"qPCR, Western blot, RIP",differential expression,31558855.0,1.0
