,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
0,NR_026961.1,59,7,0
1,NR_038264.1,11,1,0
2,NR_026892.1,36,1,0
3,NR_026892.1,36,1,0
4,NR_026892.1,36,1,0
5,NR_026892.1,36,1,0
6,NR_026892.1,36,1,0
7,NR_026892.1,36,1,0
8,NR_026892.1,36,1,0
9,NR_024031.2,5,1,0
10,NR_145129.1,6,1,0
11,NR_145130.1,6,1,0
12,NR_003529.3,21,0,0
13,NR_047532.1,16,0,0
14,NR_047543.1,10,0,0
15,NR_047534.1,10,0,0
16,NR_047535.1,9,0,0
17,NR_047536.1,7,0,0
18,NR_047537.1,9,0,0
19,NR_047538.1,7,0,0
20,NR_047539.1,17,0,0
21,NR_047540.1,10,0,0
22,NR_047541.1,10,0,0
23,NR_047542.1,8,0,0
24,NR_047533.1,6,0,0
25,NR_120536.1,6,0,0
26,NR_003529.3,21,0,0
27,NR_047532.1,16,0,0
28,NR_047543.1,10,0,0
29,NR_047534.1,10,0,0
30,NR_047535.1,9,0,0
31,NR_047536.1,7,0,0
32,NR_047537.1,9,0,0
33,NR_047538.1,7,0,0
34,NR_047539.1,17,0,0
35,NR_047540.1,10,0,0
36,NR_047541.1,10,0,0
37,NR_047542.1,8,0,0
38,NR_047533.1,6,0,0
39,NR_120536.1,6,0,0
40,NR_003529.3,21,0,0
41,NR_047532.1,16,0,0
42,NR_047543.1,10,0,0
43,NR_047534.1,10,0,0
44,NR_047535.1,9,0,0
45,NR_047536.1,7,0,0
46,NR_047537.1,9,0,0
47,NR_047538.1,7,0,0
48,NR_047539.1,17,0,0
49,NR_047540.1,10,0,0
50,NR_047541.1,10,0,0
51,NR_047542.1,8,0,0
52,NR_047533.1,6,0,0
53,NR_120536.1,6,0,0
54,NR_003529.3,21,0,0
55,NR_047532.1,16,0,0
56,NR_047543.1,10,0,0
57,NR_047534.1,10,0,0
58,NR_047535.1,9,0,0
59,NR_047536.1,7,0,0
60,NR_047537.1,9,0,0
61,NR_047538.1,7,0,0
62,NR_047539.1,17,0,0
63,NR_047540.1,10,0,0
64,NR_047541.1,10,0,0
65,NR_047542.1,8,0,0
66,NR_047533.1,6,0,0
67,NR_120536.1,6,0,0
68,NR_003529.3,21,0,0
69,NR_047532.1,16,0,0
70,NR_047543.1,10,0,0
71,NR_047534.1,10,0,0
72,NR_047535.1,9,0,0
73,NR_047536.1,7,0,0
74,NR_047537.1,9,0,0
75,NR_047538.1,7,0,0
76,NR_047539.1,17,0,0
77,NR_047540.1,10,0,0
78,NR_047541.1,10,0,0
79,NR_047542.1,8,0,0
80,NR_047533.1,6,0,0
81,NR_120536.1,6,0,0
82,NR_003529.3,21,0,0
83,NR_047532.1,16,0,0
84,NR_047543.1,10,0,0
85,NR_047534.1,10,0,0
86,NR_047535.1,9,0,0
87,NR_047536.1,7,0,0
88,NR_047537.1,9,0,0
89,NR_047538.1,7,0,0
90,NR_047539.1,17,0,0
91,NR_047540.1,10,0,0
92,NR_047541.1,10,0,0
93,NR_047542.1,8,0,0
94,NR_047533.1,6,0,0
95,NR_120536.1,6,0,0
96,NR_003529.3,21,0,0
97,NR_047532.1,16,0,0
98,NR_047543.1,10,0,0
99,NR_047534.1,10,0,0
100,NR_047535.1,9,0,0
101,NR_047536.1,7,0,0
102,NR_047537.1,9,0,0
103,NR_047538.1,7,0,0
104,NR_047539.1,17,0,0
105,NR_047540.1,10,0,0
106,NR_047541.1,10,0,0
107,NR_047542.1,8,0,0
108,NR_047533.1,6,0,0
109,NR_120536.1,6,0,0
110,NR_003529.3,21,0,0
111,NR_047532.1,16,0,0
112,NR_047543.1,10,0,0
113,NR_047534.1,10,0,0
114,NR_047535.1,9,0,0
115,NR_047536.1,7,0,0
116,NR_047537.1,9,0,0
117,NR_047538.1,7,0,0
118,NR_047539.1,17,0,0
119,NR_047540.1,10,0,0
120,NR_047541.1,10,0,0
121,NR_047542.1,8,0,0
122,NR_047533.1,6,0,0
123,NR_120536.1,6,0,0
124,NR_003529.3,21,0,0
125,NR_047532.1,16,0,0
126,NR_047543.1,10,0,0
127,NR_047534.1,10,0,0
128,NR_047535.1,9,0,0
129,NR_047536.1,7,0,0
130,NR_047537.1,9,0,0
131,NR_047538.1,7,0,0
132,NR_047539.1,17,0,0
133,NR_047540.1,10,0,0
134,NR_047541.1,10,0,0
135,NR_047542.1,8,0,0
136,NR_047533.1,6,0,0
137,NR_120536.1,6,0,0
138,NR_003529.3,21,0,0
139,NR_047532.1,16,0,0
140,NR_047543.1,10,0,0
141,NR_047534.1,10,0,0
142,NR_047535.1,9,0,0
143,NR_047536.1,7,0,0
144,NR_047537.1,9,0,0
145,NR_047538.1,7,0,0
146,NR_047539.1,17,0,0
147,NR_047540.1,10,0,0
